,Puzzle Number,Algorithm,Heuristic,Length of the Solution,Length of Search Path,Execution Time(in seconds)
0,1,UCS,N/A,2,15,0.006505250930786133
1,1,GBFS,h1,2,5,0.0015010833740234375
2,1,GBFS,h2,2,5,0.002001523971557617
3,1,GBFS,h3,2,5,0.0010001659393310547
4,1,GBFS,h4,2,5,0.002001047134399414
5,1,A/A*,h1,2,5,0.001001119613647461
6,1,A/A*,h2,2,5,0.0015017986297607422
7,1,A/A*,h3,2,5,0.0017244815826416016
8,1,A/A*,h4,2,5,0.0015006065368652344
9,2,UCS,N/A,10,2010,4.015452146530151
10,2,GBFS,h1,10,472,0.280240535736084
11,2,GBFS,h2,10,472,0.29125118255615234
12,2,GBFS,h3,10,472,0.2752363681793213
13,2,GBFS,h4,10,472,0.2952537536621094
14,2,A/A*,h1,10,664,0.719118595123291
15,2,A/A*,h2,10,664,0.682086706161499
16,2,A/A*,h3,10,512,0.30776453018188477
17,2,A/A*,h4,10,664,0.6991002559661865
18,3,UCS,N/A,17,5217,51.37817573547363
19,3,GBFS,h1,26,3903,16.448142290115356
20,3,GBFS,h2,26,3903,16.712870359420776
21,3,GBFS,h3,26,3903,16.72538113594055
22,3,GBFS,h4,26,3903,19.523787260055542
23,3,A/A*,h1,17,4875,40.68298053741455
24,3,A/A*,h2,17,4875,46.03057813644409
25,3,A/A*,h3,17,3142,11.680042505264282
26,3,A/A*,h4,17,4875,45.348992109298706
27,4,UCS,N/A,0,155,0.23219966888427734
28,4,GBFS,h1,5,184,0.2822425365447998
29,4,GBFS,h2,5,184,0.23970556259155273
30,4,GBFS,h3,5,184,0.2281961441040039
31,4,GBFS,h4,5,184,0.2557196617126465
32,4,A/A*,h1,9,155,0.2452104091644287
33,4,A/A*,h2,9,155,0.23620319366455078
34,4,A/A*,h3,5,192,0.23720359802246094
35,4,A/A*,h4,9,155,0.23019742965698242
36,5,UCS,N/A,0,352,0.5524752140045166
37,5,GBFS,h1,22,352,0.5689888000488281
38,5,GBFS,h2,22,352,0.5539760589599609
39,5,GBFS,h3,22,352,0.6220347881317139
40,5,GBFS,h4,22,352,0.550973653793335
41,5,A/A*,h1,27,352,0.5634844303131104
42,5,A/A*,h2,27,352,0.536461353302002
43,5,A/A*,h3,28,352,0.5654861927032471
44,5,A/A*,h4,27,352,0.545468807220459
45,6,UCS,N/A,32,841,1.1850190162658691
46,6,GBFS,h1,36,703,0.833716869354248
47,6,GBFS,h2,36,703,0.8267114162445068
48,6,GBFS,h3,36,703,0.8227078914642334
49,6,GBFS,h4,36,703,0.8712494373321533
50,6,A/A*,h1,32,663,0.8747520446777344
51,6,A/A*,h2,32,663,0.8787553310394287
52,6,A/A*,h3,34,680,0.811697244644165
53,6,A/A*,h4,32,663,0.9052784442901611
