,Puzzle Number,Algorithm,Heuristic,Length of the Solution,Length of Search Path,Execution Time(in seconds)
0,1,UCS,N/A,2,15,0.007236957550048828
1,2,UCS,N/A,10,2010,8.69788408279419
2,3,UCS,N/A,17,5217,74.89227294921875
3,4,UCS,N/A,0,155,0.3418393135070801
4,5,UCS,N/A,0,352,0.9212939739227295
5,6,UCS,N/A,32,841,3.4447860717773438
