,Puzzle Number,Algorithm,Heuristic,Length of the Solution,Length of Search Path,Execution Time(in seconds)
0,1,UCS,N/A,18,8695,331.5545222759247
1,1,GBFS,h1,19,5134,53.650890827178955
2,1,GBFS,h2,19,5134,50.99663996696472
3,1,GBFS,h3,19,5134,44.50344395637512
4,1,GBFS,h4,19,5134,47.05751299858093
5,1,A/A*,h1,18,7636,116.2359459400177
6,1,A/A*,h2,18,7636,116.11990880966187
7,1,A/A*,h3,19,5592,51.888592004776
8,1,A/A*,h4,18,7636,120.58422112464905
9,2,UCS,N/A,4,189,0.26631999015808105
10,2,GBFS,h1,4,31,0.00581812858581543
11,2,GBFS,h2,4,31,0.005825042724609375
12,2,GBFS,h3,4,31,0.005674123764038086
13,2,GBFS,h4,4,31,0.0062808990478515625
14,2,A/A*,h1,4,75,0.024049997329711914
15,2,A/A*,h2,4,75,0.023345947265625
16,2,A/A*,h3,4,31,0.005736351013183594
17,2,A/A*,h4,4,75,0.029558897018432617
18,3,UCS,N/A,5,21,0.048651933670043945
19,3,GBFS,h1,5,17,0.011542797088623047
20,3,GBFS,h2,5,17,0.02824711799621582
21,3,GBFS,h3,5,17,0.011651992797851562
22,3,GBFS,h4,5,17,0.014640092849731445
23,3,A/A*,h1,5,21,0.013582944869995117
24,3,A/A*,h2,5,21,0.013195991516113281
25,3,A/A*,h3,5,17,0.011345148086547852
26,3,A/A*,h4,5,21,0.018272876739501953
27,4,UCS,N/A,6,34,0.03721809387207031
28,4,GBFS,h1,6,32,0.03043818473815918
29,4,GBFS,h2,6,32,0.028823137283325195
30,4,GBFS,h3,6,32,0.030665159225463867
31,4,GBFS,h4,6,32,0.029484033584594727
32,4,A/A*,h1,6,34,0.03709816932678223
33,4,A/A*,h2,6,34,0.036241769790649414
34,4,A/A*,h3,6,32,0.03046107292175293
35,4,A/A*,h4,6,34,0.03940296173095703
36,5,UCS,N/A,4,225,0.7310709953308105
37,5,GBFS,h1,4,32,0.00934290885925293
38,5,GBFS,h2,4,32,0.010529041290283203
39,5,GBFS,h3,4,32,0.009576797485351562
40,5,GBFS,h4,4,32,0.021229982376098633
41,5,A/A*,h1,4,147,0.0825810432434082
42,5,A/A*,h2,4,147,0.07184314727783203
43,5,A/A*,h3,4,32,0.008298873901367188
44,5,A/A*,h4,4,147,0.07454395294189453
45,6,UCS,N/A,4,433,0.6268091201782227
46,6,GBFS,h1,5,86,0.025979042053222656
