,Puzzle Number,Algorithm,Heuristic,Length of the Solution,Length of Search Path,Execution Time(in seconds)
0,1,UCS,N/A,18,8695,180.14589309692383
1,1,GBFS,h1,19,5134,20.46609663963318
2,1,GBFS,h2,19,5134,20.69429302215576
3,1,GBFS,h3,19,5134,20.6202290058136
4,1,GBFS,h4,19,5134,20.8709454536438
5,1,A/A*,h1,18,7636,62.34710717201233
6,1,A/A*,h2,18,7636,63.077234983444214
7,1,A/A*,h3,19,5592,25.674574851989746
8,1,A/A*,h4,18,7636,67.7107195854187
9,2,UCS,N/A,4,189,0.1596372127532959
10,2,GBFS,h1,4,31,0.0055043697357177734
11,2,GBFS,h2,4,31,0.004503965377807617
12,2,GBFS,h3,4,31,0.004503965377807617
13,2,GBFS,h4,4,31,0.0045032501220703125
14,2,A/A*,h1,4,75,0.017514944076538086
15,2,A/A*,h2,4,75,0.019515514373779297
16,2,A/A*,h3,4,31,0.006005525588989258
17,2,A/A*,h4,4,75,0.019016027450561523
18,3,UCS,N/A,5,21,0.014012575149536133
19,3,GBFS,h1,5,17,0.009008646011352539
20,3,GBFS,h2,5,17,0.009007930755615234
21,3,GBFS,h3,5,17,0.00900721549987793
22,3,GBFS,h4,5,17,0.008007526397705078
23,3,A/A*,h1,5,21,0.009508132934570312
24,3,A/A*,h2,5,21,0.011009454727172852
25,3,A/A*,h3,5,17,0.008507490158081055
26,3,A/A*,h4,5,21,0.010509014129638672
27,4,UCS,N/A,6,34,0.0245211124420166
28,4,GBFS,h1,6,32,0.020517349243164062
29,4,GBFS,h2,6,32,0.021148204803466797
30,4,GBFS,h3,6,32,0.021519184112548828
31,4,GBFS,h4,6,32,0.022019624710083008
32,4,A/A*,h1,6,34,0.0245211124420166
33,4,A/A*,h2,6,34,0.024521589279174805
34,4,A/A*,h3,6,32,0.02001643180847168
35,4,A/A*,h4,6,34,0.027523517608642578
36,5,UCS,N/A,4,225,0.11559915542602539
37,5,GBFS,h1,4,32,0.0055048465728759766
38,5,GBFS,h2,4,32,0.00650477409362793
39,5,GBFS,h3,4,32,0.005504608154296875
40,5,GBFS,h4,4,32,0.006505727767944336
41,5,A/A*,h1,4,147,0.05204439163208008
42,5,A/A*,h2,4,147,0.055548667907714844
43,5,A/A*,h3,4,32,0.006005048751831055
44,5,A/A*,h4,4,147,0.05054354667663574
45,6,UCS,N/A,4,433,0.3708188533782959
46,6,GBFS,h1,5,86,0.020517826080322266
47,6,GBFS,h2,5,86,0.019016265869140625
48,6,GBFS,h3,5,86,0.021017789840698242
49,6,GBFS,h4,5,86,0.01901555061340332
50,6,A/A*,h1,4,160,0.045038700103759766
51,6,A/A*,h2,4,160,0.044037818908691406
52,6,A/A*,h3,5,86,0.018516063690185547
53,6,A/A*,h4,4,160,0.046039581298828125
54,7,UCS,N/A,0,63,0.059551239013671875
55,7,GBFS,h1,4,63,0.06205344200134277
56,7,GBFS,h2,4,63,0.05955100059509277
57,7,GBFS,h3,4,63,0.06105208396911621
58,7,GBFS,h4,4,63,0.060051679611206055
59,7,A/A*,h1,4,63,0.05955076217651367
60,7,A/A*,h2,4,63,0.059050559997558594
61,7,A/A*,h3,4,63,0.059050798416137695
62,7,A/A*,h4,4,63,0.060051679611206055
63,8,UCS,N/A,8,4707,32.18417239189148
64,8,GBFS,h1,10,1590,1.3551647663116455
65,8,GBFS,h2,10,1590,1.3906958103179932
66,8,GBFS,h3,10,1590,1.3761827945709229
67,8,GBFS,h4,10,1590,1.3666749000549316
68,8,A/A*,h1,8,2610,4.712051153182983
69,8,A/A*,h2,8,2610,4.757590055465698
70,8,A/A*,h3,10,1391,0.9678318500518799
71,8,A/A*,h4,8,2610,4.8151397705078125
72,9,UCS,N/A,0,743,1.6649315357208252
73,9,GBFS,h1,8,743,1.7029638290405273
74,9,GBFS,h2,8,743,1.6944561004638672
75,9,GBFS,h3,8,743,1.7089695930480957
76,9,GBFS,h4,8,743,1.7204790115356445
77,9,A/A*,h1,8,743,1.6834475994110107
78,9,A/A*,h2,8,743,1.7204792499542236
79,9,A/A*,h3,8,743,1.7254831790924072
80,9,A/A*,h4,8,743,1.701462984085083
81,10,UCS,N/A,6,108,0.08307147026062012
82,10,GBFS,h1,6,59,0.025022029876708984
83,10,GBFS,h2,6,59,0.024520158767700195
84,10,GBFS,h3,6,59,0.02552175521850586
85,10,GBFS,h4,6,59,0.024521350860595703
86,10,A/A*,h1,6,103,0.07106137275695801
87,10,A/A*,h2,6,103,0.07656550407409668
88,10,A/A*,h3,6,59,0.02502131462097168
89,10,A/A*,h4,6,103,0.07006025314331055
90,11,UCS,N/A,5,1400,1.829573631286621
91,11,GBFS,h1,6,97,0.021518230438232422
92,11,GBFS,h2,6,97,0.021518230438232422
93,11,GBFS,h3,6,97,0.02402019500732422
94,11,GBFS,h4,6,97,0.02151799201965332
95,11,A/A*,h1,5,680,0.3087654113769531
96,11,A/A*,h2,5,680,0.30776453018188477
97,11,A/A*,h3,6,97,0.021518707275390625
98,11,A/A*,h4,5,680,0.3072640895843506
99,12,UCS,N/A,7,335,0.38483095169067383
100,12,GBFS,h1,7,94,0.030525922775268555
101,12,GBFS,h2,7,94,0.03152775764465332
102,12,GBFS,h3,7,94,0.03452944755554199
103,12,GBFS,h4,7,94,0.044037580490112305
104,12,A/A*,h1,7,280,0.2797400951385498
105,12,A/A*,h2,7,280,0.2722339630126953
106,12,A/A*,h3,7,94,0.030025482177734375
107,12,A/A*,h4,7,280,0.2917509078979492
108,13,UCS,N/A,7,193,0.1966688632965088
109,13,GBFS,h1,7,77,0.03452944755554199
110,13,GBFS,h2,7,77,0.034529685974121094
111,13,GBFS,h3,7,77,0.03452920913696289
112,13,GBFS,h4,7,77,0.03503012657165527
113,13,A/A*,h1,7,160,0.13411498069763184
114,13,A/A*,h2,7,160,0.13561654090881348
115,13,A/A*,h3,7,77,0.03853273391723633
116,13,A/A*,h4,7,160,0.140120267868042
117,14,UCS,N/A,0,126,0.16764426231384277
118,14,GBFS,h1,5,143,0.15863633155822754
119,14,GBFS,h2,5,143,0.16063809394836426
120,14,GBFS,h3,5,143,0.157135009765625
121,14,GBFS,h4,5,143,0.1596376895904541
122,14,A/A*,h1,7,126,0.16814446449279785
123,14,A/A*,h2,7,126,0.1571342945098877
124,14,A/A*,h3,7,143,0.15563368797302246
125,14,A/A*,h4,7,126,0.1666429042816162
126,15,UCS,N/A,7,268,0.29625391960144043
127,15,GBFS,h1,7,218,0.2236928939819336
128,15,GBFS,h2,7,218,0.21968865394592285
129,15,GBFS,h3,7,218,0.22869658470153809
130,15,GBFS,h4,7,218,0.225693941116333
131,15,A/A*,h1,7,231,0.24521088600158691
132,15,A/A*,h2,7,231,0.24621176719665527
133,15,A/A*,h3,7,218,0.23970603942871094
134,15,A/A*,h4,7,231,0.24270844459533691
135,16,UCS,N/A,10,289,0.3342874050140381
136,16,GBFS,h1,11,130,0.0735628604888916
137,16,GBFS,h2,11,130,0.0735628604888916
138,16,GBFS,h3,11,130,0.07206130027770996
139,16,GBFS,h4,11,130,0.07456374168395996
140,16,A/A*,h1,10,271,0.29375243186950684
141,16,A/A*,h2,10,271,0.2867469787597656
142,16,A/A*,h3,11,143,0.0860738754272461
143,16,A/A*,h4,10,271,0.2927513122558594
144,17,UCS,N/A,3,167,0.06105232238769531
145,17,GBFS,h1,3,44,0.007506132125854492
146,17,GBFS,h2,3,44,0.006506204605102539
147,17,GBFS,h3,3,44,0.006505489349365234
148,17,GBFS,h4,3,44,0.0060045719146728516
149,17,A/A*,h1,3,68,0.016013622283935547
150,17,A/A*,h2,3,68,0.019016265869140625
151,17,A/A*,h3,3,44,0.006505489349365234
152,17,A/A*,h4,3,68,0.016013622283935547
153,18,UCS,N/A,4,534,0.42886877059936523
154,18,GBFS,h1,4,55,0.012010335922241211
155,18,GBFS,h2,4,55,0.011509418487548828
156,18,GBFS,h3,4,55,0.017014265060424805
157,18,GBFS,h4,4,55,0.012010574340820312
158,18,A/A*,h1,4,199,0.07506442070007324
159,18,A/A*,h2,4,199,0.0785672664642334
160,18,A/A*,h3,4,55,0.012508869171142578
161,18,A/A*,h4,4,199,0.06405496597290039
162,19,UCS,N/A,10,3510,21.331840991973877
163,19,GBFS,h1,16,1482,1.7865359783172607
164,19,GBFS,h2,16,1482,1.7750263214111328
165,19,GBFS,h3,16,1482,1.787036657333374
166,19,GBFS,h4,16,1482,1.8190641403198242
167,19,A/A*,h1,10,1945,2.88948392868042
168,19,A/A*,h2,10,1945,2.8669650554656982
169,19,A/A*,h3,16,1318,1.4147167205810547
170,19,A/A*,h4,10,1945,2.9155068397521973
171,20,UCS,N/A,6,3497,12.044856309890747
172,20,GBFS,h1,6,102,0.022019386291503906
173,20,GBFS,h2,6,102,0.022019147872924805
174,20,GBFS,h3,6,102,0.02251887321472168
175,20,GBFS,h4,6,102,0.021518468856811523
176,20,A/A*,h1,6,1934,2.252936601638794
177,20,A/A*,h2,6,1934,2.23842453956604
178,20,A/A*,h3,6,102,0.022018909454345703
179,20,A/A*,h4,6,1934,2.275456428527832
180,21,UCS,N/A,10,102,0.08006858825683594
181,21,GBFS,h1,10,94,0.06355428695678711
182,21,GBFS,h2,10,94,0.06405448913574219
183,21,GBFS,h3,10,94,0.06405401229858398
184,21,GBFS,h4,10,94,0.06455564498901367
185,21,A/A*,h1,10,97,0.07506489753723145
186,21,A/A*,h2,10,97,0.07806706428527832
187,21,A/A*,h3,10,94,0.06455540657043457
188,21,A/A*,h4,10,97,0.08056950569152832
189,22,UCS,N/A,13,2541,7.43889594078064
190,22,GBFS,h1,19,646,0.4819145202636719
191,22,GBFS,h2,19,646,0.48441576957702637
192,22,GBFS,h3,19,646,0.4769101142883301
193,22,GBFS,h4,19,646,0.47490787506103516
194,22,A/A*,h1,13,755,0.7041056156158447
195,22,A/A*,h2,13,755,0.6630702018737793
196,22,A/A*,h3,19,641,0.46489930152893066
197,22,A/A*,h4,13,755,0.6785833835601807
198,23,UCS,N/A,6,1967,4.521888017654419
199,23,GBFS,h1,6,153,0.05354595184326172
200,23,GBFS,h2,6,153,0.054546356201171875
201,23,GBFS,h3,6,153,0.06205296516418457
202,23,GBFS,h4,6,153,0.06355428695678711
203,23,A/A*,h1,6,767,0.6420519351959229
204,23,A/A*,h2,6,767,0.6370477676391602
205,23,A/A*,h3,6,153,0.060051679611206055
206,23,A/A*,h4,6,767,0.6550631523132324
207,24,UCS,N/A,6,638,0.8051919937133789
208,24,GBFS,h1,6,178,0.07706618309020996
209,24,GBFS,h2,6,178,0.07956814765930176
210,24,GBFS,h3,6,178,0.07656598091125488
211,24,GBFS,h4,6,178,0.07906770706176758
