,Puzzle Number,Algorithm,Heuristic,Length of the Solution,Length of Search Path,Execution Time(in seconds)
212,24,A/A*,h1,6,388,0.2892482280731201
213,24,A/A*,h2,6,388,0.2902498245239258
214,24,A/A*,h3,6,178,0.07306289672851562
215,24,A/A*,h4,6,388,0.2892491817474365
216,25,UCS,N/A,5,885,0.896770715713501
217,25,GBFS,h1,5,126,0.04053521156311035
218,25,GBFS,h2,5,126,0.05554771423339844
219,25,GBFS,h3,5,126,0.04203677177429199
220,25,GBFS,h4,5,126,0.04203629493713379
221,25,A/A*,h1,5,644,0.43787670135498047
222,25,A/A*,h2,5,644,0.42786717414855957
223,25,A/A*,h3,5,126,0.04303693771362305
224,25,A/A*,h4,5,644,0.44788455963134766
225,26,UCS,N/A,3,81,0.02402043342590332
226,26,GBFS,h1,3,22,0.0025026798248291016
227,26,GBFS,h2,3,22,0.0030128955841064453
228,26,GBFS,h3,3,22,0.0030028820037841797
229,26,GBFS,h4,3,22,0.0025033950805664062
230,26,A/A*,h1,3,32,0.005004405975341797
231,26,A/A*,h2,3,32,0.005004167556762695
232,26,A/A*,h3,3,22,0.0025022029876708984
233,26,A/A*,h4,3,32,0.005505084991455078
234,27,UCS,N/A,4,161,0.1301116943359375
235,27,GBFS,h1,4,87,0.02652287483215332
236,27,GBFS,h2,4,87,0.025522470474243164
237,27,GBFS,h3,4,87,0.02552175521850586
238,27,GBFS,h4,4,87,0.0270233154296875
239,27,A/A*,h1,4,103,0.04103493690490723
240,27,A/A*,h2,4,103,0.03553009033203125
241,27,A/A*,h3,4,87,0.024520397186279297
242,27,A/A*,h4,4,103,0.03553032875061035
243,28,UCS,N/A,3,72,0.02652287483215332
244,28,GBFS,h1,3,19,0.002501964569091797
245,28,GBFS,h2,3,19,0.00250244140625
246,28,GBFS,h3,3,19,0.0025017261505126953
247,28,GBFS,h4,3,19,0.0025022029876708984
248,28,A/A*,h1,3,31,0.005004167556762695
249,28,A/A*,h2,3,31,0.0050048828125
250,28,A/A*,h3,3,19,0.0025022029876708984
251,28,A/A*,h4,3,31,0.005003929138183594
252,29,UCS,N/A,6,913,1.656423807144165
253,29,GBFS,h1,7,287,0.17765307426452637
254,29,GBFS,h2,7,287,0.17014622688293457
255,29,GBFS,h3,7,287,0.1746501922607422
256,29,GBFS,h4,7,287,0.17314863204956055
257,29,A/A*,h1,6,501,0.436875581741333
258,29,A/A*,h2,6,501,0.44087934494018555
259,29,A/A*,h3,7,287,0.17014503479003906
260,29,A/A*,h4,6,501,0.4293694496154785
261,30,UCS,N/A,7,611,0.7781689167022705
262,30,GBFS,h1,8,137,0.051544189453125
263,30,GBFS,h2,8,137,0.05054306983947754
264,30,GBFS,h3,8,137,0.046540021896362305
265,30,GBFS,h4,8,137,0.05754995346069336
266,30,A/A*,h1,7,505,0.3653135299682617
267,30,A/A*,h2,7,505,0.368316650390625
268,30,A/A*,h3,8,133,0.04804205894470215
269,30,A/A*,h4,7,505,0.3708188533782959
270,31,UCS,N/A,5,538,0.716616153717041
271,31,GBFS,h1,5,319,0.2867465019226074
272,31,GBFS,h2,5,319,0.2942521572113037
273,31,GBFS,h3,5,319,0.2892491817474365
274,31,GBFS,h4,5,319,0.31777405738830566
275,31,A/A*,h1,5,331,0.3192744255065918
276,31,A/A*,h2,5,331,0.3313910961151123
277,31,A/A*,h3,5,319,0.28912901878356934
278,31,A/A*,h4,5,331,0.3137698173522949
279,32,UCS,N/A,7,857,1.5748538970947266
280,32,GBFS,h1,8,182,0.06805849075317383
281,32,GBFS,h2,8,182,0.07706618309020996
282,32,GBFS,h3,8,182,0.07006049156188965
283,32,GBFS,h4,8,182,0.07056093215942383
284,32,A/A*,h1,7,545,0.493924617767334
285,32,A/A*,h2,7,545,0.49192285537719727
286,32,A/A*,h3,8,182,0.06905913352966309
287,32,A/A*,h4,7,545,0.5079367160797119
288,33,UCS,N/A,8,1135,2.6222546100616455
289,33,GBFS,h1,8,374,0.16314053535461426
290,33,GBFS,h2,8,374,0.1696460247039795
291,33,GBFS,h3,8,374,0.1596369743347168
292,33,GBFS,h4,8,374,0.16514182090759277
293,33,A/A*,h1,8,835,1.1339750289916992
294,33,A/A*,h2,8,835,1.1304717063903809
295,33,A/A*,h3,8,397,0.18565869331359863
296,33,A/A*,h4,8,835,1.1439838409423828
297,34,UCS,N/A,8,723,1.3521628379821777
298,34,GBFS,h1,8,552,0.519446849822998
299,34,GBFS,h2,8,552,0.5209474563598633
300,34,GBFS,h3,8,552,0.553476095199585
301,34,GBFS,h4,8,552,0.5274531841278076
302,34,A/A*,h1,8,666,1.0133717060089111
303,34,A/A*,h2,8,666,1.019376516342163
304,34,A/A*,h3,8,552,0.5294549465179443
305,34,A/A*,h4,8,666,1.0173742771148682
306,35,UCS,N/A,10,909,1.1229658126831055
307,35,GBFS,h1,10,140,0.05604672431945801
308,35,GBFS,h2,10,140,0.05504727363586426
309,35,GBFS,h3,10,140,0.05454707145690918
310,35,GBFS,h4,10,140,0.05604815483093262
311,35,A/A*,h1,10,514,0.5319573879241943
312,35,A/A*,h2,10,514,0.48441624641418457
313,35,A/A*,h3,10,140,0.056549072265625
314,35,A/A*,h4,10,514,0.48291444778442383
315,36,UCS,N/A,8,1249,2.838940143585205
316,36,GBFS,h1,10,348,0.19967174530029297
317,36,GBFS,h2,10,348,0.19316554069519043
318,36,GBFS,h3,10,348,0.19266533851623535
319,36,GBFS,h4,10,348,0.19917082786560059
320,36,A/A*,h1,8,1025,1.3256399631500244
321,36,A/A*,h2,8,1025,1.305121898651123
322,36,A/A*,h3,10,314,0.18515896797180176
323,36,A/A*,h4,8,1025,1.3441557884216309
324,37,UCS,N/A,8,939,1.4027059078216553
325,37,GBFS,h1,9,141,0.06705737113952637
326,37,GBFS,h2,9,141,0.06755828857421875
327,37,GBFS,h3,9,141,0.07256174087524414
328,37,GBFS,h4,9,141,0.06905913352966309
329,37,A/A*,h1,8,651,0.5769960880279541
330,37,A/A*,h2,8,651,0.5684893131256104
331,37,A/A*,h3,9,167,0.09307980537414551
332,37,A/A*,h4,8,651,0.5835015773773193
333,38,UCS,N/A,9,974,1.5608415603637695
334,38,GBFS,h1,9,321,0.19066381454467773
335,38,GBFS,h2,9,321,0.1961684226989746
336,38,GBFS,h3,9,321,0.18365812301635742
337,38,GBFS,h4,9,321,0.18766164779663086
338,38,A/A*,h1,9,688,0.900273323059082
339,38,A/A*,h2,9,688,0.8947691917419434
340,38,A/A*,h3,9,335,0.20717787742614746
341,38,A/A*,h4,9,688,0.9032766819000244
342,39,UCS,N/A,9,717,1.1755096912384033
343,39,GBFS,h1,10,308,0.17364883422851562
344,39,GBFS,h2,10,308,0.17214751243591309
345,39,GBFS,h3,10,308,0.19266581535339355
346,39,GBFS,h4,10,308,0.20267367362976074
347,39,A/A*,h1,9,377,0.35230255126953125
348,39,A/A*,h2,9,377,0.37181949615478516
349,39,A/A*,h3,10,286,0.14862728118896484
350,39,A/A*,h4,9,377,0.35480475425720215
351,40,UCS,N/A,10,1852,6.174308776855469
352,40,GBFS,h1,10,580,0.24921369552612305
353,40,GBFS,h2,10,580,0.24421024322509766
354,40,GBFS,h3,10,580,0.26372694969177246
355,40,GBFS,h4,10,580,0.24721217155456543
356,40,A/A*,h1,10,1488,3.6476364135742188
357,40,A/A*,h2,10,1488,3.667653799057007
358,40,A/A*,h3,10,788,0.4323718547821045
359,40,A/A*,h4,10,1488,3.6531412601470947
360,41,UCS,N/A,6,1058,1.704465627670288
361,41,GBFS,h1,6,59,0.012510061264038086
362,41,GBFS,h2,6,59,0.011510133743286133
363,41,GBFS,h3,6,59,0.011510133743286133
364,41,GBFS,h4,6,59,0.011510133743286133
365,41,A/A*,h1,6,365,0.225693941116333
366,41,A/A*,h2,6,365,0.22669553756713867
367,41,A/A*,h3,6,59,0.011509895324707031
368,41,A/A*,h4,6,365,0.2572214603424072
369,42,UCS,N/A,6,1318,2.49214243888855
370,42,GBFS,h1,7,108,0.025522232055664062
371,42,GBFS,h2,7,108,0.02602243423461914
372,42,GBFS,h3,7,108,0.02602243423461914
373,42,GBFS,h4,7,108,0.02652287483215332
374,42,A/A*,h1,6,307,0.1351161003112793
375,42,A/A*,h2,6,307,0.15663480758666992
376,42,A/A*,h3,7,108,0.02652263641357422
377,42,A/A*,h4,6,307,0.14912772178649902
378,43,UCS,N/A,7,672,1.3241384029388428
379,43,GBFS,h1,8,228,0.07556509971618652
380,43,GBFS,h2,8,228,0.0785675048828125
381,43,GBFS,h3,8,228,0.07005977630615234
382,43,GBFS,h4,8,228,0.0860741138458252
383,43,A/A*,h1,7,526,0.6225354671478271
384,43,A/A*,h2,7,526,0.6095237731933594
385,43,A/A*,h3,8,228,0.07256221771240234
386,43,A/A*,h4,7,526,0.6225345134735107
387,44,UCS,N/A,15,1757,3.8037705421447754
388,44,GBFS,h1,19,989,1.0018608570098877
389,44,GBFS,h2,19,989,1.001861333847046
390,44,GBFS,h3,19,989,0.9943547248840332
391,44,GBFS,h4,19,989,0.9933538436889648
392,44,A/A*,h1,15,999,1.7159748077392578
393,44,A/A*,h2,15,999,1.758512020111084
394,44,A/A*,h3,16,1113,1.7059671878814697
395,44,A/A*,h4,15,999,1.7470016479492188
396,45,UCS,N/A,4,246,0.16113853454589844
397,45,GBFS,h1,4,30,0.004503965377807617
398,45,GBFS,h2,4,30,0.004503488540649414
399,45,GBFS,h3,4,30,0.004004001617431641
400,45,GBFS,h4,4,30,0.004503726959228516
401,45,A/A*,h1,4,152,0.046540260314941406
402,45,A/A*,h2,4,152,0.045538902282714844
403,45,A/A*,h3,4,30,0.005003929138183594
404,45,A/A*,h4,4,152,0.047040462493896484
405,46,UCS,N/A,12,694,1.0218784809112549
406,46,GBFS,h1,13,453,0.4964268207550049
407,46,GBFS,h2,13,453,0.49492573738098145
408,46,GBFS,h3,13,453,0.488419771194458
409,46,GBFS,h4,13,453,0.5114398002624512
410,46,A/A*,h1,12,535,0.5789973735809326
411,46,A/A*,h2,12,535,0.5985140800476074
412,46,A/A*,h3,13,481,0.4498870372772217
413,46,A/A*,h4,12,535,0.5925090312957764
414,47,UCS,N/A,8,1181,2.6357662677764893
415,47,GBFS,h1,9,372,0.22469282150268555
416,47,GBFS,h2,9,372,0.2186877727508545
417,47,GBFS,h3,9,372,0.21768736839294434
418,47,GBFS,h4,9,372,0.22569489479064941
419,47,A/A*,h1,8,774,0.8982727527618408
420,47,A/A*,h2,8,774,0.8947699069976807
421,47,A/A*,h3,9,372,0.21919465065002441
422,47,A/A*,h4,8,774,0.8942689895629883
423,48,UCS,N/A,6,73,0.047040462493896484
424,48,GBFS,h1,6,33,0.00800633430480957
425,48,GBFS,h2,6,33,0.008507013320922852
426,48,GBFS,h3,6,33,0.009007930755615234
427,48,GBFS,h4,6,33,0.016013622283935547
428,48,A/A*,h1,6,68,0.028524398803710938
429,48,A/A*,h2,6,68,0.030025482177734375
430,48,A/A*,h3,6,33,0.008507728576660156
431,48,A/A*,h4,6,68,0.028524398803710938
432,49,UCS,N/A,8,989,1.6544222831726074
433,49,GBFS,h1,9,204,0.10108733177185059
434,49,GBFS,h2,9,204,0.11459851264953613
435,49,GBFS,h3,9,204,0.10509037971496582
436,49,GBFS,h4,9,204,0.11109519004821777
437,49,A/A*,h1,8,626,0.5779969692230225
438,49,A/A*,h2,8,626,0.5664877891540527
439,49,A/A*,h3,9,208,0.12610864639282227
440,49,A/A*,h4,8,626,0.6015169620513916
441,50,UCS,N/A,10,2715,8.4222412109375
442,50,GBFS,h1,11,533,0.41585707664489746
443,50,GBFS,h2,11,533,0.41835927963256836
444,50,GBFS,h3,11,533,0.4033467769622803
445,50,GBFS,h4,11,533,0.43387269973754883
446,50,A/A*,h1,10,1452,2.20889949798584
447,50,A/A*,h2,10,1452,2.1908836364746094
448,50,A/A*,h3,11,408,0.2677304744720459
449,50,A/A*,h4,10,1452,2.2144041061401367
